SMILES,EndPt,ReadyBiodeg
CC(=O)OC(N(c1ccc(c(c1)NC(=O)c1ccccc1)N=Nc1ccc(cc1)[N+](=O)[O-])C(OC(=O)C)C)C,NRB,0
COCCCNc1ccc(c2c1cccc2)/N=N/c1c(Br)cc(cc1[N+](=O)[O-])[N+](=O)[O-],NRB,0
[O-][N+](=O)c1cc(c(O)c(c1)[N+]([O-])=O)[N+]([O-])=O,NRB,0
[O-][N+](=O)c1cc(Cl)ccc1Cl,NRB,0
CC1(C)CC(N)CC(C)(CN)C1,NRB,0
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,NRB,0
CC1(C)CC(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C,NRB,0
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,NRB,0
NCC=C,NRB,0
Cn1cccc1,RB,1
C1CC=CC(C1)c2ccc(cc2)C3CCC=CC3,NRB,0
CCN(c1ccc(c(c1)C)C=C(C#N)C#N)CCOc1ccccc1C1CCCCC1,NRB,0
Cc1ccccc1[N+]([O-])=O,NRB,0
CCCCCCCC\C=C/CCCCCCCC(=O)O,RB,1
Oc1c(Br)c2ccccc2[n]c1C1C(=O)c2ccccc2C1=O,NRB,0
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,RB,1
Cc1cc(Sc2cc(C)c(c(c2)C(C)(C)C)O)cc(c1O)C(C)(C)C,NRB,0
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,RB,1
ClC(Cl)Cl,NRB,0
CC1(C)C2CC(=O)C1(C)CC2,RB,1
Cc1cc(cc(C)c1OCC1CO1)-c1cc(C)c(OCC2CO2)c(C)c1,NRB,0
CC(C)C1=NC(=O)C=C(C)N1,NRB,0
CCC(O)=O,RB,1
CC1(C)CC(N)CC(C)(C1)CN,NRB,0
CC(C)(C)C(=O)O,NRB,0
CS,RB,1
Cc1cc(C)cc(C)c1,NRB,0
ClCC=CCl,NRB,0
CCCCCCCCCCCCCCCC(O)=O,RB,1
CCOC(=O)CC(=O)OCC,RB,1
Clc1cc(Cl)c(c(c1)C(=O)Nc1ccc(c(c1)Cl)Cl)O,NRB,0
OC(c1ccccc1)c1ccccc1,RB,1
CNc1ccccc1C,NRB,0
Cc1[n]cc(CO)c(C=O)c1O,RB,1
Cc1cccc(c1)NC,NRB,0
CC(C)CNCC(C)C,RB,1
COc2ccc1cc(ccc1c2)C(C)C(O)=O,NRB,0
CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,NRB,0
O=C1N(Cl)C(=O)N(Cl)C(=O)N1Cl,NRB,0
Nc1ccc2c(cccc2S(O)(=O)=O)c1S(O)(=O)=O,NRB,0
N#CSCSc1sc2ccccc2n1,NRB,0
COc1ccc(cc1)C(c1ccc(cc1)OC)(c1ccccc1)Cl,NRB,0
BrCC(=O)OCC=CCOC(=O)CBr,NRB,0
FC(F)(Cl)Cl,NRB,0
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,NRB,0
Nc1cc2cc(cc(O)c2cc1)S(O)(=O)=O,NRB,0
CCOC(=O)C(=O)OCC,RB,1
Oc1cc2ccccc2cc1,RB,1
Cc1ccc(cc1)S(=O)(=O)O,NRB,0
CCCCCCCCCCCCCCCCCCN(C)C,NRB,0
Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,NRB,0
OCCNc1nc(NCCCOCCOc2ccccc2)c(c(c1/N=N/c1ccc(cc1C#N)[N+](=O)[O-])C)C#N,NRB,0
CN1SC(Cl)=CC1=O,NRB,0
Nc1c[n]c(N)cc1,RB,1
Clc1ccc(c(c1)Cl)NC(=O)C(C(=O)C(C)(C)C)Oc1ccc(cc1)C(=O)O,NRB,0
OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,NRB,0
CC(C)c1ccc(C)cc1,RB,1
Clc1c[n]c(Cl)c(Cl)c1,NRB,0
O=C1CCCCC1C2=CCCCC2,NRB,0
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,NRB,0
O=C1CCCCCO1,RB,1
CCCCC1CC(OC)C(O)CC1,RB,1
OC(=O)c1cc(Cl)c(Cl)cc1,NRB,0
C1CCCCC1,NRB,0
Nc1cc(c(O)c2C(=O)c3c(N)cc(c(O)c3C(=O)c12)S(=O)(=O)O)S(=O)(=O)O,NRB,0
CCCCCCC(C)c1cc(cc(c1OC(=O)C=CC)[N+](=O)[O-])[N+](=O)[O-],NRB,0
CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)cccc1C3(C)O,NRB,0
OC(=O)c1ccc(cc1)C(O)=O,RB,1
CCCCCCCCC=CCCCCCCCC(=O)N(C)CCS(O)(=O)=O,RB,1
Oc1ccc(O)cc1,RB,1
Clc1ccccc1C=C,NRB,0
[O-][N+](=O)c1cccc2c1cccc2[N+]([O-])=O,NRB,0
CCC(C)N,RB,1
CCCCCCCCCCCCCCCCCCCCCC(=O)N,NRB,0
[O-][N+](=O)c1cc(ccc1)[N+]([O-])=O,NRB,0
Oc1cccnc1,RB,1
COC(=O)C(C)=C,RB,1
Cc1cc(c(O)cc1)-[n]1[n]2c3ccccc3[n]21,NRB,0
N#CCCN(c1ccc(cc1)/N=N/c1sc2c(n1)cc(c(c2)Cl)Cl)CC,NRB,0
CCCCCCCCCCCCCOP(Oc1ccccc1)Oc2ccccc2,NRB,0
C[N+](C)(C)O[P]([O-])(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=CC(=NC2=O)N,RB,1
Cc1cc(N)ccc1C,RB,1
CN(C)S(=O)(=O)c1ccc(cc1)OP(=S)(OC)OC,RB,1
Cc1ccccc1[S](N)(=O)=O,NRB,0
Cc1ccc(cc1)C(C)(C)C,RB,1
CCCCCCCC\C=C/CCCCCCCC(=O)OC,RB,1
OCNCCO,RB,1
c1ccc(cc1)[Bi](c1ccccc1)c1ccccc1,NRB,0
CC(C)(C)C=O,RB,1
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC,NRB,0
CC(=C1CCC(=CC1)C)C,RB,1
Cc1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],NRB,0
CCCCN(CCO)CCCC,NRB,0
Cc1ccc(cc1Cl)[N+]([O-])=O,NRB,0
FC(F)(F)C1(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C1(F)F)C(F)(F)F,NRB,0
Cc1cc(ccc1)NC(=O)OC,RB,1
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,NRB,0
CCNc1nc(Cl)nc(NC(C)C)n1,NRB,0
N#Cc1cc(C)cc(c1/N=N/c1ccc(cc1C)N(CC)CC)Br,NRB,0
CCCCCCCCCCCCOS(=O)(=O)O,RB,1
Nc1ccccc1S(=O)(=O)O,NRB,0
CCC=O,RB,1
FC(C(F)F)F,NRB,0
N[C@@H](CC(=O)O)C(=O)O,RB,1
CCC(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,NRB,0
C=COCCCl,RB,1
OS(=O)(=O)c1ccc(Cl)cc1,RB,1
CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,NRB,0
O=P(OCCCl)(OCCCl)OCCCl,NRB,0
O=C1C=CC(=O)N1c2ccc(Cc3ccc(cc3)N4C(=O)C=CC4=O)cc2,NRB,0
Brc1cc(Br)c(Br)c(Oc2ccc(Br)c(Br)c2Br)c1,NRB,0
CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,RB,1
N#CCCN(CCOC(=O)c1ccccc1)c1ccc(cc1)N=Nc1ccc(cc1)[N+]([O-])=O,NRB,0
CN1SC(=CC1=O)Cl,NRB,0
CC(=CCCC(C)(O)C=C)C,RB,1
CC(C)(C)c1ccc2C(=O)c3ccccc3C(=O)c2c1,NRB,0
CCCCCCCCCCCCSP(SCCCCCCCCCCCC)SCCCCCCCCCCCC,NRB,0
CN(C)CCOCCN(C)C,NRB,0
CCCCCCCCC=CCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCC=CCCCCCCCC,RB,1
OC(=O)c1c(Cl)c(Cl)ccc1Cl,NRB,0
COc1c(N)cccc1N(=O)=O,NRB,0
Cc1cc(N)ccc1Cl,NRB,0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NRB,0
Cc1ccc(cc1)S(=O)(=O)Cl,RB,1
Cc1cc(c(O)c(c1)-[n]1[n]c2cc(Cl)ccc2[n]1)C(C)(C)C,NRB,0
O=C1C=Cc2ccccc2O1,RB,1
CC=C1CC2CC1C=C2,NRB,0
CNc1ccc(c2c1C(=O)c1c(C2=O)cccc1)Nc1cccc(c1)C,NRB,0
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,NRB,0
CCc1ccc(O)cc1,RB,1
CCCCC(=O)O,RB,1
CC(=O)OC(CC(=O)OCCCC)(CC(=O)OCCCC)C(=O)OCCCC,RB,1
Nc1ccc(cc1)S(=O)(=O)N,NRB,0
CC1(C)C2CCC(C)(OO)C1C2,NRB,0
Cc1ccc(cc1)[N+](=O)[O-],NRB,0
Nc1nc[nH]n1,NRB,0
c1ccc2c3c(cccc31)c1cccc3cccc2c31,NRB,0
NNc1c(Cl)cc(Cl)cc1Cl,NRB,0
CC(C)C1CCc2ccccc2C1,NRB,0
CC(C#CC(OOC(C)(C)C)(C)C)(OOC(C)(C)C)C,NRB,0
CCC(CC)[N+]([O-])=O,RB,1
FC(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,NRB,0
CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,NRB,0
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,NRB,0
CC(C)(C)c1ccc(O)cc1,NRB,0
OC(=O)c1cc2ccc(cc2cc1)C(O)=O,NRB,0
Cc1ccccc1[N+](=O)[O-],NRB,0
COc1ccc(N)cc1,RB,1
O=C(OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2)[N](=O)=O)c3ccccc3,NRB,0
Brc1cc(Br)cc(c1)Br,NRB,0
OCC(Br)(CO)[N+]([O-])=O,NRB,0
C=CC=O,NRB,0
COc1cc(N=Nc2c(Cl)cc(cc2N(=O)=O)N(=O)=O)c(cc1N(Cc1ccccc1)CCOC(=O)C)NC(=O)C,NRB,0
OCC(O)C(O)C(O)CO,RB,1
NC(=N)N(c1ccccc1)c2ccccc2,NRB,0
Cc1ccc(O)cc1[N+]([O-])=O,NRB,0
Nc1ccc(cc1Cl)[N+]([O-])=O,NRB,0
CC(C)CN,RB,1
CC(C)(CC(=C)c1ccccc1)c2ccccc2,NRB,0
N#Cc1c[n]ccc1,NRB,0
CCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2,NRB,0
OC(CO)CO,RB,1
c1cc(OCC)cc(O)c1C(O)=O,RB,1
ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,NRB,0
C/C=C/C=C/C(O)=O,RB,1
Oc1cc(cc2cc(ccc12)S(O)(=O)=O)S(O)(=O)=O,RB,1
Cc1ccccc1Cl,NRB,0
Cc1ccc(OP(=O)(Oc2ccccc2)Oc3ccccc3)cc1,NRB,0
C1CCCCC1N=C=NC1CCCCC1,NRB,0
CCC(=O)OC(=O)CC,RB,1
O=C1OC(=O)C=C1,RB,1
Nc1cc(Cl)ccc1,NRB,0
Nc1ccc(cc1)N=Nc2ccccc2,NRB,0
[O-][N+](=O)c1cc(ccc1)C(O)=O,NRB,0
CCCCC(CCCC)c1cc[n]cc1,RB,1
CC(C)C1NC(=O)NC1=O,NRB,0
COc1c(O)cc(Cl)c(Cl)c1Cl,NRB,0
Oc1cccc(c1)[N+](=O)[O-],RB,1
Nc1cc(Cl)cc(C(O)=O)c1Cl,NRB,0
Clc1cc2S/C(=C/3\Sc4c(C3=O)c(C)cc(c4)Cl)/C(=O)c2c(c1)C,NRB,0
[O-][N+](=O)c1ccc(O)cc1,NRB,0
CC(=CC(=O)C)C,RB,1
COc1ccc(N)c(c1)[N+]([O-])=O,NRB,0
NCC1CCCC(CN)C1,NRB,0
Oc1ccc2c(c1/N=N/c1ccccc1)cccc2,NRB,0
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,NRB,0
Clc1cccc(Cl)c1Cl,NRB,0
OC(=O)c1ccc2C(=O)OC(=O)c2c1,RB,1
CCCOC(=O)N1CCNCC1,RB,1
CCCCCCC(=O)O,RB,1
C1COCCN1Sc1[n]c2ccccc2[s]1,NRB,0
N#Cc1cccnc1,NRB,0
OC(=O)c1ccccc1[N+]([O-])=O,RB,1
Brc1ccccc1,NRB,0
O[S](=O)(=O)c1ccccc1,RB,1
COc1cc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(=O)C)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)C(=O)C)c(OC)cc1Cl,NRB,0
C1C=CCC2C=CCC12,NRB,0
COc1cc(C=CC(O)=O)ccc1O,RB,1
CC(C)(C)c1cc(cc(C(O)=O)c1O)C(C)(C)C,NRB,0
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,NRB,0
COc1ccc(cc1)C(=O)O,RB,1
C=Cc1ccc(C=C)cc1,NRB,0
CC(C)C1(C)N=C(NC1=O)c1[n]c2ccccc2cc1C(O)=O,NRB,0
CCCCCCC(O)CCCCCCCCCCC(=O)O,RB,1
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,NRB,0
NC(=O)CI,NRB,0
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)=O,RB,1
CC(=O)Nc1ccc(cc1)-c1ccc(N)cc1,NRB,0
CC(c1ccccc1)c2ccccc2O,NRB,0
O=Nc1ccc(cc1)Nc1ccccc1,NRB,0
Clc1cccc2C(=O)c3ccccc3C(=O)c12,NRB,0
FC(F)(F)c1cccc(Cl)c1,NRB,0
CC(C)(c1ccc(OCCO)cc1)c2ccc(OCCO)cc2,NRB,0
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,NRB,0
CCCCCCCCCCCCCCCCCC,RB,1
CCCCCCCCCCCC(=O)N(C)CC(=O)O,RB,1
OS(=O)(=O)c1cccc(c1)S(=O)(=O)O,NRB,0
Nc1cccc2cccc(c12)S(=O)(=O)O,NRB,0
CN,RB,1
CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC,RB,1
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,NRB,0
CNC(=O)Oc1cccc(C)c1,NRB,0
OC(=O)CCCCCCBr,RB,1
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,NRB,0
Brc1c(Br)c(Br)c(c(Br)c1Br)c2c(Br)c(Br)c(Br)c(Br)c2Br,NRB,0
CC(CO)(CO)CO,NRB,0
Nc1cccc2ccccc12,NRB,0
ClCc1ccccc1,RB,1
CCOC(=O)CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,NRB,0
Cc1ccc(c(O)c1)C(C)(C)C,NRB,0
CCCCCCCCCCCCCCCC(N)=O,NRB,0
Nc1ccc2c(cccc2[S](O)(=O)=O)c1[S](O)(=O)=O,NRB,0
Cc1ccc(c(c1)C)/N=N/C1C(=NN(C1=O)c1ccccc1)C,NRB,0
NC(=N)S(=O)O,RB,1
CNc1ccccc1C(=O)O,RB,1
OC(=O)c1cccc(c1)C(O)=O,RB,1
Oc1ccc(cc1)C#N,RB,1
c1(I)c(NC(=O)COC)c(I)c(C(=O)NCC(O)CO)c(I)c1C(=O)N(C)CC(O)CO,NRB,0
CC(O)C=C,RB,1
OC(=O)C1CC=CCC1C(=O)O,NRB,0
CCCN(c1ccc(c(c1)NC(=O)C)/N=N/c1nnc(s1)SCC)CCC,NRB,0
CCCCCCCCCCCCCCCCCCCCCCCC,RB,1
C1CCCC2CCCCC21,NRB,0
CC1=CCC(CC1)C(C)(C)O,RB,1
CN1C(=O)N(C)c2ncn(C)c2C1(=O),RB,1
CC(=C)C(=O)OCC1CO1,RB,1
CC(CC=O)CC(C)(C)C,NRB,0
O=C1CCCO1,RB,1
ClC=CCCl,NRB,0
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,RB,1
CC(c1ccccc1)c2cccc(C)c2C,NRB,0
CCN(CC)N=O,NRB,0
CCCCCCc1ccc(cc1)-c1ccc(cc1)C#N,NRB,0
CO[Si](CCCN=C(N(C)C)N(C)C)(OC)OC,NRB,0
C\C=C1/CC2CC1C=C2,NRB,0
c1ccc2c(c1)ccc3ccccc23,RB,1
Oc1ccc(cc1)[N+]([O-])=O,NRB,0
CC(c1c(C(C)c2ccccc2)c(O)ccc1C(C)c1ccccc1)c1ccccc1,NRB,0
CNc1cccc(C)c1,NRB,0
COc1ccc(NC(C)=O)cc1N,NRB,0
C#CCO,RB,1
OS(=O)(=O)c1ccc(cc1)N(=O)=O,NRB,0
OC(=O)[C@H]1[C@@H](C(=O)O)[C@]2(Cl)C(=C(Cl)[C@@]1(Cl)C2(Cl)Cl)Cl,NRB,0
CC(=O)C,RB,1
C=CCCl,RB,1
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,NRB,0
CC1=NN(C(=O)C1)c2cc(Cl)c(cc2Cl)[S](O)(=O)=O,NRB,0
Oc1ccccc1Br,NRB,0
Nc1cc(O)ccc1,NRB,0
COc1ccc(C(=O)c2ccccc2)c(O)c1,NRB,0
Cc1cc(C)c(O)c(c1)C(C)(C)C,NRB,0
OC(=O)c1ccc2ccccc2c1,RB,1
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,NRB,0
CCCCCCCCCCCCCO,RB,1
COP(=O)(OC)OC,NRB,0
CC1(C)C2CC(O)C1(C)CC2,RB,1
COc1cc(cc(OC)c1O)C(O)=O,RB,1
COc1ccccc1Nc1ccc(c2c1C(=O)c1ccccc1C2=O)N,NRB,0
Oc1ccc(cc1)C(O)=O,RB,1
Oc1ccc(Br)cc1Br,NRB,0
CC(O)COCC(C)OCC(C)O,NRB,0
N[C@@H](CCC(N)=O)C(O)=O,RB,1
C=COC(=O)CCl,RB,1
CCCCCCCCC(=O)N(CCO)CCO,RB,1
CN1C=C(C(=O)C(=C1)c2cccc(c2)C(F)(F)F)c3ccccc3,NRB,0
Oc1cccc2ccccc12,RB,1
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,NRB,0
CCCCN(CCCC)CCCC,NRB,0
CN(C)C(=NCCC[Si](OC)(OC)OC)N(C)C,NRB,0
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,NRB,0
COc1cccc(N)c1,NRB,0
Clc1cc(Cl)cc(Cl)c1,NRB,0
ClCCCBr,NRB,0
Clc1[n][n]c(Cl)c2ccccc12,NRB,0
Clc1cccc(Cl)n1,NRB,0
N#CSCSC#N,NRB,0
Nc1cccc2ccccc21,NRB,0
OCc1occc1,RB,1
Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,NRB,0
Oc1ccc(cc1)/N=N/c1ccc(cc1)/N=N/c1ccccc1,NRB,0
COC(=O)Nc1[nH]c2ccccc2[n]1,NRB,0
O=Cc1cc2OCOc2cc1,RB,1
OS(=O)(=O)c1cc(Cl)ccc1Oc1ccc(Cl)cc1NC(=O)Nc1cc(Cl)c(Cl)cc1,NRB,0
CCCCCCCCCCCCCCCC/C=C/C1CC(=O)OC1=O,NRB,0
CCCCOCC1CO1,RB,1
Oc1cc(Cl)ccc1O,NRB,0
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,NRB,0
C1C=CC2C3CC(C=C3)C12,NRB,0
C1CCCCC1NSc1[n]c2ccccc2[s]1,NRB,0
C=Cc1cccc(Cl)c1,NRB,0
Cc1c(c(C)c(c(c1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O)[N+]([O-])=O,NRB,0
Oc1ccc2ccccc2c1C=O,RB,1
Clc1cc(cc(c1/N=N/c1ccc(cc1)Nc1ccc(cc1)[N+](=O)[O-])Cl)[N+](=O)[O-],NRB,0
Cc1cccc(N)c1,NRB,0
CC(C)(N)CO,NRB,0
Oc1cccc(OC(=O)c2ccccc2)c1,RB,1
O=C(ON=C1C=CC(=NOC(=O)c2ccccc2)C=C1)c3ccccc3,NRB,0
Cc1ccc(O)c(c1)[N+]([O-])=O,NRB,0
CCN(CCO)CC,NRB,0
Nc1cc(ccc1Cl)C(=O)O,NRB,0
CCCCCCCCCCCCCCCCCC(O)=O,RB,1
N#Cc1ccc(O)cc1,NRB,0
Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,NRB,0
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,NRB,0
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,NRB,0
N[C@@H](CCC(=O)N)C(=O)O,RB,1
CC(c1ccccc1O)c1ccccc1,NRB,0
CS(C)=O,NRB,0
[O-][N+](=O)c1c(C)c(cc2c1C(C)(C)CC2(C)C)[N+](=O)[O-],NRB,0
CC(C)C1=CC2C3C(C1CC2C)C(=O)OC3=O,NRB,0
CCN(CC)c1ccc(C=O)cc1,NRB,0
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,NRB,0
Oc1cc(O)ccc1,RB,1
Cc1c[s]cc1,NRB,0
Clc1ccc(NC(=N)NC(=N)CCCCCCNC(=N)NC(=N)c2ccc(Cl)cc2)cc1,NRB,0
Cl[Si](Cl)(c1ccccc1)c1ccccc1,NRB,0
C=CCO,RB,1
OCCN(CCO)N=O,RB,1
CC(Nc1nc(nc(n1)c1ccccc1)Nc1cc(Br)c(c2c1C(=O)c1ccccc1C2=O)N)C,NRB,0
CCCCCO,RB,1
N=C(Nc1ccccc1)Nc2ccccc2,NRB,0
Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],NRB,0
CC(=O)C1C(=O)OC(=CC1=O)C,RB,1
CS(=O)(=O)OCC(O)C(O)COS(=O)(=O)C,NRB,0
CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C,NRB,0
Nc1c2c(c(O)cc1Oc1ccc(Br)cc1)C(=O)c1ccccc1C2=O,NRB,0
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,RB,1
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NRB,0
Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,NRB,0
O=CC(Cl)(Cl)Cl,NRB,0
CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,NRB,0
C(OP(OCc1ccccc1)OCc2ccccc2)c3ccccc3,RB,1
CN1CCCCC1,NRB,0
OC(=O)Cc1cccc2ccccc21,NRB,0
Clc1ccccc1C2CO2,NRB,0
CC(C)(C)CC(C)(C)c1ccc(cc1)OCCOCC[N+](C)(C)Cc1ccccc1,NRB,0
Nc1ccc2c(cccc2c1S(=O)(=O)O)S(=O)(=O)O,NRB,0
COc1cc(ccc1N)[N+]([O-])=O,NRB,0
CC(=C)C(=O)O,RB,1
O=N(=O)c1cc(ccc1/N=N/c1c(O)ccc2c1cccc2)N(=O)=O,NRB,0
CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C,RB,1
CCCCN(CC)C(=O)SCCC,RB,1
CCC(C)=NO[Si](C)(ON=C(C)CC)ON=C(C)CC,NRB,0
